0~1~2~3~4~5~6~7~8~9~10~11~12~13
"row-r8up-gamy~439u"~00000000-0000-0000-78E4-1368E8732DB2~0~1611502581~~1611502581~~{ }~2020-04-08T00:00:00~Albany~37~379~229~4633
"row-civf~hjzn-2t56"~00000000-0000-0000-B3BE-B6DDB408FA25~0~1611502581~~1611502581~~{ }~2020-04-09T00:00:00~Albany~47~426~332~4965
row-i8ze-p4k8_289k~00000000-0000-0000-8343-58F467A0A6E0~0~1611502581~~1611502581~~{ }~2020-04-10T00:00:00~Albany~20~446~159~5124
row-2wfz.tybd-rmbf~00000000-0000-0000-92EC-94D2F49E26DF~0~1611502581~~1611502581~~{ }~2020-04-11T00:00:00~Albany~32~478~223~5347
"row-yk89~5qmy_4v7c"~00000000-0000-0000-7C54-824A0204427C~0~1611502581~~1611502581~~{ }~2020-04-12T00:00:00~Albany~21~499~193~5540
row-fwcp-2vm5.kw64~00000000-0000-0000-B03F-CA183B43C010~0~1611502581~~1611502581~~{ }~2020-04-13T00:00:00~Albany~36~535~216~5756
row-u4pc-kdym_tuqd~00000000-0000-0000-6D91-D8AB284073CB~0~1611502581~~1611502581~~{ }~2020-04-14T00:00:00~Albany~13~548~106~5862
row-49qq.uvkn_xqkt~00000000-0000-0000-A42C-95EA83726499~0~1611502581~~1611502581~~{ }~2020-04-15T00:00:00~Albany~33~581~301~6163
row-uqqg.egrs.3vn7~00000000-0000-0000-ED03-BB9119CFF2C9~0~1611502581~~1611502581~~{ }~2020-04-16T00:00:00~Albany~38~619~273~6436
row-tt4w-cz3k-7hea~00000000-0000-0000-D28B-E9D439DDF1EA~0~1611502581~~1611502581~~{ }~2020-04-17T00:00:00~Albany~29~648~291~6727
row-duji_cf5v_as4r~00000000-0000-0000-AB8A-4A0D1913B1B3~0~1611502581~~1611502581~~{ }~2020-04-18T00:00:00~Albany~34~682~305~7032
row-fkca.q29j-vgr5~00000000-0000-0000-C8F2-74883B9F650C~0~1611502581~~1611502581~~{ }~2020-04-19T00:00:00~Albany~5~687~103~7135
row-75u9.ifbi.rhzy~00000000-0000-0000-096E-15B3277D4074~0~1611502581~~1611502581~~{ }~2020-04-20T00:00:00~Albany~17~704~164~7299
